gameweek,roster_id,pp_points,points,manager,opponent_id,pp_points_opponent,points_opponent,pp_win,win,league
1,1,114.75999999999999,91.16,DanCoulton,4,119.2,94.8,0.0,0.0,NFL Dynasty
1,2,116.76,103.56,TenAndJerry,3,94.3,56.76,1.0,1.0,NFL Dynasty
1,3,94.3,56.76,benturvill61,2,116.76,103.56,0.0,0.0,NFL Dynasty
1,4,119.2,94.8,calumedwards,1,114.75999999999999,91.16,1.0,1.0,NFL Dynasty
1,5,134.74,82.84,0llie,12,141.33999999999997,98.94,0.0,0.0,NFL Dynasty
1,6,165.18,135.98,jhh82,7,116.4,82.4,1.0,1.0,NFL Dynasty
1,7,116.4,82.4,JoeWright,6,165.18,135.98,0.0,0.0,NFL Dynasty
1,8,138.34,138.34,Pindeco,11,150.92,110.52,0.0,1.0,NFL Dynasty
1,9,144.54000000000002,116.53999999999999,mikepearson,10,117.75999999999999,103.06,1.0,1.0,NFL Dynasty
1,10,117.75999999999999,103.06,msouthwell,9,144.54000000000002,116.53999999999999,0.0,0.0,NFL Dynasty
1,11,150.92,110.52,Tomcoulton10,8,138.34,138.34,1.0,0.0,NFL Dynasty
1,12,141.33999999999997,98.94,hyperpringle,5,134.74,82.84,1.0,1.0,NFL Dynasty
2,1,152.06,131.56,DanCoulton,3,113.38,73.78,1.0,1.0,NFL Dynasty
2,2,150.44,111.7,TenAndJerry,4,118.18,98.41999999999999,1.0,1.0,NFL Dynasty
2,3,113.38,73.78,benturvill61,1,152.06,131.56,0.0,0.0,NFL Dynasty
2,4,118.18,98.41999999999999,calumedwards,2,150.44,111.7,0.0,0.0,NFL Dynasty
2,5,176.51999999999998,123.06,0llie,7,148.42,101.42,1.0,1.0,NFL Dynasty
2,6,136.51999999999998,113.02,jhh82,12,140.60000000000002,122.44,0.0,0.0,NFL Dynasty
2,7,148.42,101.42,JoeWright,5,176.51999999999998,123.06,0.0,0.0,NFL Dynasty
2,8,162.82,134.56,Pindeco,9,135.70000000000002,111.6,1.0,1.0,NFL Dynasty
2,9,135.70000000000002,111.6,mikepearson,8,162.82,134.56,0.0,0.0,NFL Dynasty
2,10,148.94,131.2,msouthwell,11,161.66,118.24,0.0,1.0,NFL Dynasty
2,11,161.66,118.24,Tomcoulton10,10,148.94,131.2,1.0,0.0,NFL Dynasty
2,12,140.60000000000002,122.44,hyperpringle,6,136.51999999999998,113.02,1.0,1.0,NFL Dynasty
3,1,205.38,150.28,DanCoulton,2,172.2,139.1,1.0,1.0,NFL Dynasty
3,2,172.2,139.1,TenAndJerry,1,205.38,150.28,0.0,0.0,NFL Dynasty
3,3,108.88,100.38,benturvill61,4,98.02,83.22,1.0,1.0,NFL Dynasty
3,4,98.02,83.22,calumedwards,3,108.88,100.38,0.0,0.0,NFL Dynasty
3,5,168.61999999999998,121.02000000000001,0llie,6,88.5,74.64,1.0,1.0,NFL Dynasty
3,6,88.5,74.64,jhh82,5,168.61999999999998,121.02000000000001,0.0,0.0,NFL Dynasty
3,7,125.28,98.08,JoeWright,12,146.96,118.86,0.0,0.0,NFL Dynasty
3,8,187.82,170.22,Pindeco,10,130.95999999999998,104.76,1.0,1.0,NFL Dynasty
3,9,143.08,126.58,mikepearson,11,127.19999999999999,105.8,1.0,1.0,NFL Dynasty
3,10,130.95999999999998,104.76,msouthwell,8,187.82,170.22,0.0,0.0,NFL Dynasty
3,11,127.19999999999999,105.8,Tomcoulton10,9,143.08,126.58,0.0,0.0,NFL Dynasty
3,12,146.96,118.86,hyperpringle,7,125.28,98.08,1.0,1.0,NFL Dynasty
4,1,160.56,126.25999999999999,DanCoulton,11,120.1,101.4,1.0,1.0,NFL Dynasty
4,2,149.38,115.08,TenAndJerry,12,135.4,124.6,1.0,0.0,NFL Dynasty
4,3,114.53999999999999,88.1,benturvill61,5,121.8,83.3,0.0,1.0,NFL Dynasty
4,4,113.16000000000001,88.14,calumedwards,8,73.88000000000001,60.18,1.0,1.0,NFL Dynasty
4,5,121.8,83.3,0llie,3,114.53999999999999,88.1,1.0,0.0,NFL Dynasty
4,6,154.32,118.30000000000001,jhh82,9,207.74000000000004,173.72,0.0,0.0,NFL Dynasty
4,7,140.66,70.66,JoeWright,10,101.88,77.68,1.0,0.0,NFL Dynasty
4,8,73.88000000000001,60.18,Pindeco,4,113.16000000000001,88.14,0.0,0.0,NFL Dynasty
4,9,207.74000000000004,173.72,mikepearson,6,154.32,118.30000000000001,1.0,1.0,NFL Dynasty
4,10,101.88,77.68,msouthwell,7,140.66,70.66,0.0,1.0,NFL Dynasty
4,11,120.1,101.4,Tomcoulton10,1,160.56,126.25999999999999,0.0,0.0,NFL Dynasty
4,12,135.4,124.6,hyperpringle,2,149.38,115.08,0.0,1.0,NFL Dynasty
5,1,116.16,102.36,DanCoulton,8,128.54,104.62,0.0,0.0,NFL Dynasty
5,2,102.03999999999999,77.53999999999999,TenAndJerry,5,159.96,106.16,0.0,0.0,NFL Dynasty
5,3,116.38000000000001,89.74,benturvill61,12,178.88,158.18,0.0,0.0,NFL Dynasty
5,4,138.84,119.86,calumedwards,11,178.38000000000002,115.12,0.0,1.0,NFL Dynasty
5,5,159.96,106.16,0llie,2,102.03999999999999,77.53999999999999,1.0,1.0,NFL Dynasty
5,6,106.64,87.64,jhh82,10,98.16000000000001,87.56,1.0,1.0,NFL Dynasty
5,7,138.82,105.32000000000001,JoeWright,9,156.44,142.94,0.0,0.0,NFL Dynasty
5,8,128.54,104.62,Pindeco,1,116.16,102.36,1.0,1.0,NFL Dynasty
5,9,156.44,142.94,mikepearson,7,138.82,105.32000000000001,1.0,1.0,NFL Dynasty
5,10,98.16000000000001,87.56,msouthwell,6,106.64,87.64,0.0,0.0,NFL Dynasty
5,11,178.38000000000002,115.12,Tomcoulton10,4,138.84,119.86,1.0,0.0,NFL Dynasty
5,12,178.88,158.18,hyperpringle,3,116.38000000000001,89.74,1.0,1.0,NFL Dynasty
6,1,89.74000000000001,68.84,DanCoulton,5,121.53999999999999,69.56,0.0,0.0,NFL Dynasty
6,2,133.27999999999997,104.68,TenAndJerry,9,133.54000000000002,114.74000000000001,0.0,0.0,NFL Dynasty
6,3,129.42000000000002,115.12,benturvill61,10,113.54,100.44,1.0,1.0,NFL Dynasty
6,4,117.02000000000001,107.22,calumedwards,12,128.27999999999997,102.61999999999999,0.0,1.0,NFL Dynasty
6,5,121.53999999999999,69.56,0llie,1,89.74000000000001,68.84,1.0,1.0,NFL Dynasty
6,6,101.54,71.3,jhh82,8,114.72,113.08,0.0,0.0,NFL Dynasty
6,7,154.70000000000002,132.9,JoeWright,11,132.64,117.06,1.0,1.0,NFL Dynasty
6,8,114.72,113.08,Pindeco,6,101.54,71.3,1.0,1.0,NFL Dynasty
6,9,133.54000000000002,114.74000000000001,mikepearson,2,133.27999999999997,104.68,1.0,1.0,NFL Dynasty
