gameweek,roster_id,pp_points,points,manager,matchup_id,opponent_id,pp_points_opponent,points_opponent,pp_win,win,all_play,league
1,1,153.48,151.57999999999998,DanCoulton,5,8,151.14000000000001,129.14,1.0,1.0,7.0,House of Hard Knocks
1,2,187.44,159.28,MajorNC,2,5,141.95999999999998,115.96000000000001,1.0,1.0,8.0,House of Hard Knocks
1,3,189.95999999999998,165.92000000000002,Tomcoulton10,4,7,153.6,125.69999999999999,1.0,1.0,9.0,House of Hard Knocks
1,4,135.01999999999998,117.12,0llie,1,6,144.82,115.74,0.0,1.0,2.0,House of Hard Knocks
1,5,141.95999999999998,115.96000000000001,calumedwards,2,2,187.44,159.28,0.0,0.0,1.0,House of Hard Knocks
1,6,144.82,115.74,hyperpringle,1,4,135.01999999999998,117.12,1.0,0.0,0.0,House of Hard Knocks
1,7,153.6,125.69999999999999,Pindeco,4,3,189.95999999999998,165.92000000000002,0.0,0.0,3.0,House of Hard Knocks
1,8,151.14000000000001,129.14,Jonnydubz,5,1,153.48,151.57999999999998,0.0,0.0,4.0,House of Hard Knocks
1,9,171.9,149.92000000000002,splangtree,3,10,142.88,135.08,1.0,1.0,6.0,House of Hard Knocks
1,10,142.88,135.08,JoeWright,3,9,171.9,149.92000000000002,0.0,0.0,5.0,House of Hard Knocks
2,1,122.12,89.7,DanCoulton,4,9,215.4,191.04,0.0,0.0,0.0,House of Hard Knocks
2,2,185.38,166.88,MajorNC,2,6,165.34,148.54000000000002,1.0,1.0,6.0,House of Hard Knocks
2,3,187.52,176.92000000000002,Tomcoulton10,3,10,144.18,122.08,1.0,1.0,7.0,House of Hard Knocks
2,4,206.24,191.94,0llie,1,5,153.82,142.64,1.0,1.0,9.0,House of Hard Knocks
2,5,153.82,142.64,calumedwards,1,4,206.24,191.94,0.0,0.0,4.0,House of Hard Knocks
2,6,165.34,148.54000000000002,hyperpringle,2,2,185.38,166.88,0.0,0.0,5.0,House of Hard Knocks
2,7,118.32,101.22,Pindeco,5,8,179.29999999999998,140.34,0.0,0.0,1.0,House of Hard Knocks
2,8,179.29999999999998,140.34,Jonnydubz,5,7,118.32,101.22,1.0,1.0,3.0,House of Hard Knocks
2,9,215.4,191.04,splangtree,4,1,122.12,89.7,1.0,1.0,8.0,House of Hard Knocks
2,10,144.18,122.08,JoeWright,3,3,187.52,176.92000000000002,0.0,0.0,2.0,House of Hard Knocks
3,1,146.94,131.24,DanCoulton,5,3,150.44000000000003,149.64,0.0,0.0,1.0,House of Hard Knocks
3,2,159.14,139.14,MajorNC,1,4,180.54,177.34,0.0,0.0,3.0,House of Hard Knocks
3,3,150.44000000000003,149.64,Tomcoulton10,5,1,146.94,131.24,1.0,1.0,4.0,House of Hard Knocks
3,4,180.54,177.34,0llie,1,2,159.14,139.14,1.0,1.0,9.0,House of Hard Knocks
3,5,166.66,156.46,calumedwards,2,6,182.48,160.18,0.0,0.0,7.0,House of Hard Knocks
3,6,182.48,160.18,hyperpringle,2,5,166.66,156.46,1.0,1.0,8.0,House of Hard Knocks
3,7,155.42000000000002,150.01999999999998,Pindeco,3,10,161.07999999999998,151.68,0.0,0.0,5.0,House of Hard Knocks
3,8,110.98,92.26,Jonnydubz,4,9,157.20000000000002,131.9,0.0,0.0,0.0,House of Hard Knocks
3,9,157.20000000000002,131.9,splangtree,4,8,110.98,92.26,1.0,1.0,2.0,House of Hard Knocks
