season,manager,roster_id,h2h_wins,points_for,league
1,0llie,4,7.0,1604.06,House of Hard Knocks
1,DanCoulton,1,8.0,1741.05,House of Hard Knocks
1,JoeWright,10,3.0,1471.35,House of Hard Knocks
1,Jonnydubz,8,8.0,1624.12,House of Hard Knocks
1,MajorNC,2,12.0,1691.2,House of Hard Knocks
1,Pindeco,7,8.0,1632.12,House of Hard Knocks
1,Tomcoulton10,3,10.0,1802.96,House of Hard Knocks
1,calumedwards,5,3.0,1593.2,House of Hard Knocks
1,hyperpringle,6,10.0,1675.27,House of Hard Knocks
1,splangtree,9,6.0,1603.49,House of Hard Knocks
2,0llie,4,7.0,1656.49,House of Hard Knocks
2,DanCoulton,1,9.0,1502.3899999999999,House of Hard Knocks
2,JoeWright,10,5.0,1545.14,House of Hard Knocks
2,Jonnydubz,8,8.0,1735.69,House of Hard Knocks
2,MajorNC,2,10.0,1758.97,House of Hard Knocks
2,Pindeco,7,6.0,1642.29,House of Hard Knocks
2,Tomcoulton10,3,11.0,1672.24,House of Hard Knocks
2,calumedwards,5,3.0,1484.7,House of Hard Knocks
2,hyperpringle,6,7.0,1559.64,House of Hard Knocks
2,splangtree,9,9.0,1621.58,House of Hard Knocks
3,0llie,4,6.0,1433.47,House of Hard Knocks
3,DanCoulton,1,7.0,1576.5,House of Hard Knocks
3,JoeWright,10,4.0,1511.74,House of Hard Knocks
3,Jonnydubz,8,9.0,1715.65,House of Hard Knocks
3,MajorNC,2,11.0,1751.4299999999998,House of Hard Knocks
3,Pindeco,7,6.0,1590.29,House of Hard Knocks
3,Tomcoulton10,3,9.0,1758.69,House of Hard Knocks
3,calumedwards,5,8.0,1579.65,House of Hard Knocks
3,hyperpringle,6,5.0,1520.76,House of Hard Knocks
3,splangtree,9,10.0,1766.31,House of Hard Knocks
4,0llie,4,4.0,1518.6100000000001,House of Hard Knocks
4,DanCoulton,1,4.0,1507.96,House of Hard Knocks
4,JoeWright,10,5.0,1481.49,House of Hard Knocks
4,Jonnydubz,8,10.0,1762.93,House of Hard Knocks
4,MajorNC,2,10.0,1649.75,House of Hard Knocks
4,Pindeco,7,10.0,1680.02,House of Hard Knocks
4,Tomcoulton10,3,9.0,1664.99,House of Hard Knocks
4,calumedwards,5,9.0,1677.93,House of Hard Knocks
4,hyperpringle,6,6.0,1584.92,House of Hard Knocks
4,splangtree,9,8.0,1620.89,House of Hard Knocks
5,0llie,4,8.0,1618.31,House of Hard Knocks
5,DanCoulton,1,10.0,1729.81,House of Hard Knocks
5,JoeWright,10,5.0,1621.18,House of Hard Knocks
5,Jonnydubz,8,9.0,1596.67,House of Hard Knocks
5,MajorNC,2,7.0,1654.49,House of Hard Knocks
5,Pindeco,7,6.0,1724.48,House of Hard Knocks
5,Tomcoulton10,3,10.0,1805.71,House of Hard Knocks
5,calumedwards,5,5.0,1574.53,House of Hard Knocks
5,hyperpringle,6,6.0,1618.1200000000001,House of Hard Knocks
5,splangtree,9,9.0,1623.45,House of Hard Knocks
6,0llie,4,11.0,1573.6299999999999,House of Hard Knocks
6,DanCoulton,1,12.0,1603.78,House of Hard Knocks
6,JoeWright,10,6.0,1592.53,House of Hard Knocks
6,Jonnydubz,8,6.0,1702.56,House of Hard Knocks
6,MajorNC,2,7.0,1619.8600000000001,House of Hard Knocks
6,Pindeco,7,6.0,1554.09,House of Hard Knocks
6,Tomcoulton10,3,8.0,1641.61,House of Hard Knocks
6,calumedwards,5,4.0,1546.93,House of Hard Knocks
6,hyperpringle,6,5.0,1552.6200000000001,House of Hard Knocks
6,splangtree,9,10.0,1618.42,House of Hard Knocks
7,0llie,4,10.0,1602.32,House of Hard Knocks
7,DanCoulton,1,5.0,1507.11,House of Hard Knocks
7,JoeWright,10,5.0,1533.73,House of Hard Knocks
7,Jonnydubz,8,9.0,1576.85,House of Hard Knocks
7,MajorNC,2,8.0,1647.84,House of Hard Knocks
7,Pindeco,7,6.0,1592.19,House of Hard Knocks
7,Tomcoulton10,3,9.0,1727.8,House of Hard Knocks
7,calumedwards,5,5.0,1549.72,House of Hard Knocks
7,hyperpringle,6,12.0,1650.43,House of Hard Knocks
7,splangtree,9,6.0,1578.33,House of Hard Knocks
8,0llie,4,8.0,1533.89,House of Hard Knocks
8,DanCoulton,1,8.0,1667.53,House of Hard Knocks
8,JoeWright,10,4.0,1551.32,House of Hard Knocks
8,Jonnydubz,8,6.0,1597.06,House of Hard Knocks
8,MajorNC,2,10.0,1774.5700000000002,House of Hard Knocks
8,Pindeco,7,6.0,1526.41,House of Hard Knocks
8,Tomcoulton10,3,10.0,1803.95,House of Hard Knocks
8,calumedwards,5,8.0,1673.87,House of Hard Knocks
8,hyperpringle,6,6.0,1673.15,House of Hard Knocks
8,splangtree,9,9.0,1769.9,House of Hard Knocks
9,0llie,4,9.0,1562.11,House of Hard Knocks
9,DanCoulton,1,10.0,1658.94,House of Hard Knocks
9,JoeWright,10,7.0,1486.74,House of Hard Knocks
9,Jonnydubz,8,8.0,1656.82,House of Hard Knocks
9,MajorNC,2,9.0,1722.6499999999999,House of Hard Knocks
9,Pindeco,7,3.0,1587.54,House of Hard Knocks
9,Tomcoulton10,3,8.0,1646.12,House of Hard Knocks
9,calumedwards,5,3.0,1522.71,House of Hard Knocks
9,hyperpringle,6,9.0,1569.76,House of Hard Knocks
9,splangtree,9,9.0,1624.37,House of Hard Knocks
10,0llie,4,8.0,1556.5900000000001,House of Hard Knocks
10,DanCoulton,1,6.0,1593.43,House of Hard Knocks
10,JoeWright,10,7.0,1599.6,House of Hard Knocks
10,Jonnydubz,8,9.0,1682.21,House of Hard Knocks
10,MajorNC,2,10.0,1681.08,House of Hard Knocks
10,Pindeco,7,8.0,1641.15,House of Hard Knocks
10,Tomcoulton10,3,10.0,1686.99,House of Hard Knocks
10,calumedwards,5,2.0,1442.69,House of Hard Knocks
10,hyperpringle,6,6.0,1578.08,House of Hard Knocks
10,splangtree,9,9.0,1640.76,House of Hard Knocks
11,0llie,4,9.0,1553.6399999999999,House of Hard Knocks
11,DanCoulton,1,7.0,1627.93,House of Hard Knocks
11,JoeWright,10,7.0,1481.3,House of Hard Knocks
11,Jonnydubz,8,8.0,1706.25,House of Hard Knocks
11,MajorNC,2,9.0,1648.24,House of Hard Knocks
11,Pindeco,7,6.0,1616.01,House of Hard Knocks
11,Tomcoulton10,3,7.0,1668.8,House of Hard Knocks
11,calumedwards,5,6.0,1566.8700000000001,House of Hard Knocks
11,hyperpringle,6,7.0,1543.5,House of Hard Knocks
11,splangtree,9,9.0,1701.49,House of Hard Knocks
12,0llie,4,3.0,1361.33,House of Hard Knocks
12,DanCoulton,1,9.0,1764.1799999999998,House of Hard Knocks
12,JoeWright,10,7.0,1530.05,House of Hard Knocks
12,Jonnydubz,8,8.0,1666.42,House of Hard Knocks
12,MajorNC,2,6.0,1601.56,House of Hard Knocks
12,Pindeco,7,6.0,1640.7,House of Hard Knocks
12,Tomcoulton10,3,12.0,1721.53,House of Hard Knocks
12,calumedwards,5,4.0,1577.96,House of Hard Knocks
12,hyperpringle,6,7.0,1621.73,House of Hard Knocks
12,splangtree,9,13.0,1694.0,House of Hard Knocks
13,0llie,4,10.0,1459.21,House of Hard Knocks
13,DanCoulton,1,9.0,1660.95,House of Hard Knocks
13,JoeWright,10,4.0,1485.1100000000001,House of Hard Knocks
13,Jonnydubz,8,6.0,1674.9,House of Hard Knocks
13,MajorNC,2,9.0,1683.28,House of Hard Knocks
13,Pindeco,7,7.0,1602.4,House of Hard Knocks
