season,week,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win,league
1,1,116.06,0.827,96.0,91.49,119.70000000000002,W,2,8.0,11,0.727,1,"['11533', '4098', '7591', '8138', '8676', '9484', '9493']","[np.float64(7.0), np.float64(22.4), np.float64(21.86), np.float64(12.9), np.float64(24.0), np.float64(9.3), np.float64(18.6)]",1,msouthwell,126.3,118.46000000000001,1.0,8.0,134.9,137.16000000000003,0.0,126.3,1.0,8.0,134.9,137.16000000000003,0.0,0.0,Across The Pond
1,1,119.7,0.764,91.49,96.0,116.06,L,1,7.0,11,0.636,2,"['11604', '4227', '6794', '7528', '7543', '7569', '9758']","[np.float64(10.3), np.float64(5.0), np.float64(22.8), np.float64(12.6), np.float64(16.6), np.float64(16.9), np.float64(35.5)]",1,Newty51,118.46000000000001,126.3,0.0,7.0,137.16000000000003,134.9,1.0,118.46000000000001,0.0,7.0,137.16000000000003,134.9,1.0,0.0,Across The Pond
1,1,105.82,0.765,80.91,91.34,115.25999999999999,L,8,4.0,11,0.364,3,"['10236', '11575', '3451', '6904', '7547', '8154', '9488']","[np.float64(10.4), np.float64(10.9), np.float64(10.0), np.float64(17.12), np.float64(25.8), np.float64(24.0), np.float64(7.6)]",1,TenAndJerry,94.42,127.38,0.0,5.0,95.22,141.98,0.0,94.42,0.0,5.0,95.22,141.98,0.0,0.0,Across The Pond
1,1,96.9,0.711,68.9,126.4,161.0,L,5,0.0,11,0.0,4,"['11583', '11632', '5133', '7042', '8144', '9226', '9229']","[np.float64(11.9), np.float64(24.6), np.float64(9.5), np.float64(1.0), np.float64(19.3), np.float64(7.6), np.float64(23.0)]",1,DanCoulton,128.88,88.08,1.0,10.0,149.76,124.97999999999999,1.0,128.88,1.0,10.0,149.76,124.97999999999999,1.0,0.0,Across The Pond
1,1,161.0,0.785,126.4,68.9,96.89999999999999,W,4,11.0,11,1.0,5,"['10859', '10937', '5846', '5849', '6806', '8112', '8155']","[np.float64(20.3), np.float64(14.0), np.float64(23.1), np.float64(27.8), np.float64(35.1), np.float64(22.0), np.float64(18.7)]",1,JPLdavies2024,88.08,128.88,0.0,3.0,124.97999999999999,149.76,0.0,88.08,0.0,3.0,124.97999999999999,149.76,0.0,0.0,Across The Pond
1,1,95.28,0.74,70.52,84.44,117.96,L,12,1.0,11,0.091,6,"['4195', '4866', '4881', '7049', '7588', '8130', '8146']","[np.float64(14.0), np.float64(5.7), np.float64(11.08), np.float64(11.8), np.float64(3.9), np.float64(24.9), np.float64(23.9)]",1,steveoreilly7,117.52,87.96000000000001,1.0,6.0,123.72,96.22,1.0,117.52,1.0,6.0,123.72,96.22,1.0,0.0,Across The Pond
1,1,92.02,0.788,72.54,99.15,122.26,L,9,2.0,11,0.182,7,"['11620', '1166', '1266', '4199', '5844', '6819', '6845']","[np.float64(9.4), np.float64(14.42), np.float64(12.0), np.float64(12.4), np.float64(14.6), np.float64(13.3), np.float64(15.9)]",1,JoeWright,51.9,130.68,0.0,0.0,67.98,140.68,0.0,51.9,0.0,0.0,67.98,140.68,0.0,0.0,Across The Pond
1,1,115.26,0.792,91.34,80.91,105.82,W,3,6.0,11,0.545,8,"['2374', '2747', '3163', '5045', '7553', '8143', '8151']","[np.float64(9.6), np.float64(8.0), np.float64(23.96), np.float64(12.3), np.float64(15.5), np.float64(31.9), np.float64(14.0)]",1,mikepearson,127.38,94.42,1.0,9.0,141.98,95.22,1.0,127.38,1.0,9.0,141.98,95.22,1.0,0.0,Across The Pond
1,1,122.26,0.811,99.15,72.54,92.02000000000001,W,7,9.0,11,0.818,9,"['2020', '2216', '4984', '4993', '5892', '7564', '7594']","[np.float64(5.0), np.float64(22.5), np.float64(21.36), np.float64(15.1), np.float64(18.0), np.float64(33.0), np.float64(7.3)]",1,benturvill61,130.68,51.9,1.0,11.0,140.68,67.98,1.0,130.68,1.0,11.0,140.68,67.98,1.0,0.0,Across The Pond
1,1,100.8,0.76,76.61,109.96,141.0,L,11,3.0,11,0.273,10,"['10235', '1466', '1479', '4137', '4666', '6943', '7523']","[np.float64(10.7), np.float64(6.4), np.float64(13.0), np.float64(34.3), np.float64(4.0), np.float64(11.1), np.float64(21.3)]",1,skjowitt,77.03999999999999,90.96000000000001,0.0,1.0,96.34,105.75999999999999,0.0,77.03999999999999,0.0,1.0,96.34,105.75999999999999,0.0,0.0,Across The Pond
1,1,141.0,0.78,109.96,76.61,100.8,W,10,10.0,11,0.909,11,"['1264', '4017', '4066', '6786', '7021', '8205', '9502']","[np.float64(9.0), np.float64(31.1), np.float64(15.7), np.float64(26.4), np.float64(28.6), np.float64(19.3), np.float64(10.9)]",1,Dominichudson1986,90.96000000000001,77.03999999999999,1.0,4.0,105.75999999999999,96.34,1.0,90.96000000000001,1.0,4.0,105.75999999999999,96.34,1.0,0.0,Across The Pond
1,1,117.96,0.716,84.44,70.52,95.28,W,6,5.0,11,0.455,12,"['3198', '3294', '6826', '7525', '7611', '7839', '8121']","[np.float64(38.5), np.float64(20.66), np.float64(11.8), np.float64(10.3), np.float64(19.5), np.float64(4.0), np.float64(13.2)]",1,jhh82,87.96000000000001,117.52,0.0,2.0,96.22,123.72,0.0,87.96000000000001,0.0,2.0,96.22,123.72,0.0,0.0,Across The Pond
1,2,141.96,0.793,112.54,72.77,95.94,W,12,11.0,11,1.0,1,"['11533', '4035', '5012', '7591', '8137', '8138', '8676']","[np.float64(15.0), np.float64(16.1), np.float64(8.4), np.float64(33.06), np.float64(26.8), np.float64(28.4), np.float64(14.2)]",2,msouthwell,140.48,123.22,1.0,11.0,155.48,123.22000000000001,1.0,140.48,1.0,11.0,155.48,123.22000000000001,1.0,0.0,Across The Pond
