season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,1,1,131.76,0.781,102.87,83.82,109.83999999999999,W,2,11.0,11,1.0,1,"['11539', '3321', '5012', '6804', '8137', '8138', '9224']","[np.float64(6.0), np.float64(22.8), np.float64(10.5), np.float64(16.46), np.float64(17.3), np.float64(14.1), np.float64(44.6)]",1,1,msouthwell,126.3,118.46000000000001,1.0,8.0,134.9,137.16000000000003,0.0,126.3,1.0,8.0,134.9,137.16000000000003,0.0,0.0
1,1,1,109.84,0.763,83.82,102.87,131.76,L,1,8.0,11,0.727,2,"['10222', '11533', '11560', '11604', '6801', '7528', '7543']","[np.float64(16.5), np.float64(6.0), np.float64(22.74), np.float64(13.7), np.float64(32.3), np.float64(14.5), np.float64(4.1)]",1,1,Newty51,118.46000000000001,126.3,0.0,7.0,137.16000000000003,134.9,1.0,118.46000000000001,0.0,7.0,137.16000000000003,134.9,1.0,0.0
1,1,1,99.34,0.755,74.95,95.7,116.56,L,8,6.0,11,0.545,3,"['10236', '3451', '6904', '7547', '8154', '9221', '9488']","[np.float64(8.2), np.float64(15.0), np.float64(18.84), np.float64(11.4), np.float64(23.3), np.float64(12.5), np.float64(10.1)]",1,4,TenAndJerry,94.42,127.38,0.0,5.0,95.22,141.98,0.0,94.42,0.0,5.0,95.22,141.98,0.0,0.0
1,1,1,97.72,0.75,73.27,69.61,84.38,W,5,5.0,11,0.455,4,"['11566', '11584', '11632', '8144', '8259', '9226', '9484']","[np.float64(14.52), np.float64(11.3), np.float64(25.1), np.float64(18.3), np.float64(13.0), np.float64(12.7), np.float64(2.8)]",1,6,DanCoulton,128.88,88.08,1.0,10.0,149.76,124.97999999999999,1.0,128.88,1.0,10.0,149.76,124.97999999999999,1.0,0.0
1,1,1,84.38,0.825,69.61,73.27,97.72,L,4,2.0,11,0.182,5,"['10859', '11635', '5927', '6650', '6790', '6797', '8155']","[np.float64(9.3), np.float64(19.4), np.float64(11.4), np.float64(2.0), np.float64(9.9), np.float64(28.08), np.float64(4.3)]",1,6,JPLdavies2024,88.08,128.88,0.0,3.0,124.97999999999999,149.76,0.0,88.08,0.0,3.0,124.97999999999999,149.76,0.0,0.0
1,1,1,106.8,0.835,89.14,57.15,81.24,W,12,9.0,11,0.818,6,"['11631', '1433', '421', '4866', '8130', '8228', '9997']","[np.float64(18.9), np.float64(5.0), np.float64(24.14), np.float64(4.7), np.float64(22.86), np.float64(13.9), np.float64(17.3)]",1,2,steveoreilly7,117.52,87.96000000000001,1.0,6.0,123.72,96.22,1.0,117.52,1.0,6.0,123.72,96.22,1.0,0.0
1,1,1,93.02,0.751,69.84,72.49,96.2,L,9,3.0,11,0.273,7,"['11628', '1339', '1373', '3678', '4199', '6803', '6813']","[np.float64(24.6), np.float64(5.4), np.float64(26.42), np.float64(11.0), np.float64(4.4), np.float64(16.6), np.float64(4.6)]",1,5,JoeWright,51.9,130.68,0.0,0.0,67.98,140.68,0.0,51.9,0.0,0.0,67.98,140.68,0.0,0.0
1,1,1,116.56,0.821,95.7,74.95,99.33999999999999,W,3,10.0,11,0.909,8,"['2133', '4018', '5859', '5967', '7042', '7553', '8183']","[np.float64(17.6), np.float64(10.8), np.float64(17.9), np.float64(15.7), np.float64(6.0), np.float64(15.0), np.float64(33.56)]",1,4,mikepearson,127.38,94.42,1.0,9.0,141.98,95.22,1.0,127.38,1.0,9.0,141.98,95.22,1.0,0.0
1,1,1,96.2,0.753,72.49,69.84,93.02000000000001,W,7,4.0,11,0.364,9,"['1945', '2216', '4144', '4663', '4984', '7564', '7594']","[np.float64(14.0), np.float64(14.5), np.float64(6.4), np.float64(6.5), np.float64(20.0), np.float64(24.3), np.float64(10.5)]",1,5,benturvill61,130.68,51.9,1.0,11.0,140.68,67.98,1.0,130.68,1.0,11.0,140.68,67.98,1.0,0.0
1,1,1,85.18,0.794,67.66,78.52,100.02000000000001,L,11,1.0,11,0.091,10,"['1466', '1479', '2749', '4034', '4046', '4666', '7571']","[np.float64(4.4), np.float64(6.7), np.float64(19.8), np.float64(18.5), np.float64(16.38), np.float64(15.0), np.float64(4.4)]",1,3,skjowitt,77.03999999999999,90.96000000000001,0.0,1.0,96.34,105.75999999999999,0.0,77.03999999999999,0.0,1.0,96.34,105.75999999999999,0.0,0.0
1,1,1,100.02,0.785,78.52,67.66,85.18,W,10,7.0,11,0.636,11,"['1264', '4039', '4066', '6770', '6786', '7021', '9753']","[np.float64(4.0), np.float64(9.6), np.float64(8.4), np.float64(21.32), np.float64(14.6), np.float64(14.9), np.float64(27.2)]",1,3,Dominichudson1986,90.96000000000001,77.03999999999999,1.0,4.0,105.75999999999999,96.34,1.0,90.96000000000001,1.0,4.0,105.75999999999999,96.34,1.0,0.0
