season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,1,1,155.74,0.795,123.8,111.16,144.92,W,2,8.0,9,0.889,1,"['11539', '11564', '4943', '5850', '5967', '7564', '7569', '9484', '9488']","[np.float64(3.0), np.float64(21.54), np.float64(13.7), np.float64(15.1), np.float64(24.1), np.float64(27.0), np.float64(15.7), np.float64(14.7), np.float64(20.9)]",1,4,DanCoulton,126.67999999999999,103.98,1.0,4.0,152.98000000000002,136.78,1.0,126.67999999999999,1.0,4.0,152.98000000000002,136.78,1.0,0.0
1,1,1,144.92,0.767,111.16,123.8,155.74,L,1,6.0,9,0.667,2,"['4988', '5001', '6768', '6770', '6790', '6794', '6819', '7839', '9997']","[np.float64(22.8), np.float64(9.4), np.float64(28.2), np.float64(21.32), np.float64(7.6), np.float64(4.9), np.float64(19.5), np.float64(7.0), np.float64(24.2)]",1,4,MajorNC,103.98,126.67999999999999,0.0,1.0,136.78,152.98000000000002,0.0,103.98,0.0,1.0,136.78,152.98000000000002,0.0,0.0
1,1,1,150.66,0.736,110.94,135.81,160.94,L,4,5.0,9,0.556,3,"['11584', '11632', '1234', '1466', '19', '4034', '7042', '8146', '9493']","[np.float64(30.9), np.float64(11.7), np.float64(15.44), np.float64(3.2), np.float64(29.02), np.float64(29.5), np.float64(4.0), np.float64(11.3), np.float64(15.6)]",1,1,Tomcoulton10,89.44,167.2,0.0,0.0,110.19999999999999,186.88,0.0,89.44,0.0,0.0,110.19999999999999,186.88,0.0,0.0
1,1,1,160.94,0.844,135.81,110.94,150.66,W,3,9.0,9,1.0,4,"['11563', '11566', '11631', '11647', '4037', '5846', '8138', '8259', '9480']","[np.float64(29.28), np.float64(23.56), np.float64(19.7), np.float64(16.4), np.float64(18.7), np.float64(16.6), np.float64(17.6), np.float64(12.0), np.float64(7.1)]",1,1,0llie,167.2,89.44,1.0,8.0,186.88,110.19999999999999,1.0,167.2,1.0,8.0,186.88,110.19999999999999,1.0,0.0
1,1,1,127.94,0.819,104.76,95.05,135.26000000000002,W,7,4.0,9,0.444,5,"['11637', '3451', '4018', '4881', '5849', '7596', '8110', '8676', '9226']","[np.float64(13.8), np.float64(11.0), np.float64(7.1), np.float64(0.72), np.float64(25.22), np.float64(10.0), np.float64(16.3), np.float64(12.3), np.float64(31.5)]",1,2,calumedwards,201.1,166.06,1.0,9.0,222.62,180.32000000000002,1.0,201.1,1.0,9.0,222.62,180.32000000000002,1.0,0.0
1,1,1,150.18,0.745,111.81,62.53,93.48,W,9,7.0,9,0.778,6,"['11533', '11604', '1426', '6804', '6813', '6904', '7090', '8112', '8151']","[np.float64(8.0), np.float64(22.86), np.float64(13.7), np.float64(23.4), np.float64(8.5), np.float64(19.42), np.float64(12.9), np.float64(25.6), np.float64(15.8)]",1,5,hyperpringle,133.22,160.56,0.0,5.0,167.52,183.66000000000003,0.0,133.22,0.0,5.0,167.52,183.66000000000003,0.0,0.0
1,1,1,135.26,0.703,95.05,104.76,127.94,L,5,2.0,9,0.222,7,"['11635', '1339', '1945', '2216', '4984', '6011', '7021', '9221', '9754']","[np.float64(30.4), np.float64(10.3), np.float64(9.0), np.float64(16.4), np.float64(8.5), np.float64(8.96), np.float64(14.9), np.float64(29.5), np.float64(7.3)]",1,2,Pindeco,166.06,201.1,0.0,7.0,180.32000000000002,222.62,0.0,166.06,0.0,7.0,180.32000000000002,222.62,0.0,0.0
1,1,1,131.82,0.719,94.81,100.52,125.38,L,10,1.0,9,0.111,8,"['3163', '4137', '4981', '7547', '8126', '8130', '8205', '8670', '9758']","[np.float64(18.82), np.float64(7.4), np.float64(18.4), np.float64(30.2), np.float64(11.0), np.float64(3.1), np.float64(7.9), np.float64(12.0), np.float64(23.0)]",1,3,Jonnydubz,107.14,119.80000000000001,0.0,2.0,132.10000000000002,119.8,1.0,107.14,0.0,2.0,132.10000000000002,119.8,1.0,0.0
1,1,1,93.48,0.669,62.53,111.81,150.18000000000004,L,6,0.0,9,0.0,9,"['10229', '10859', '4195', '421', '5927', '6806', '7049', '8155', '9229']","[np.float64(12.2), np.float64(5.2), np.float64(1.0), np.float64(13.16), np.float64(11.3), np.float64(11.9), np.float64(23.3), np.float64(5.2), np.float64(10.22)]",1,5,splangtree,160.56,133.22,1.0,6.0,183.66000000000003,167.52,1.0,160.56,1.0,6.0,183.66000000000003,167.52,1.0,0.0
1,1,1,125.38,0.802,100.52,94.81,131.82,W,8,3.0,9,0.333,10,"['1479', '4950', '5012', '6650', '6797', '7571', '7594', '9224', '96']","[np.float64(6.4), np.float64(4.7), np.float64(3.1), np.float64(14.0), np.float64(17.14), np.float64(11.7), np.float64(19.9), np.float64(32.6), np.float64(15.84)]",1,3,JoeWright,119.80000000000001,107.14,1.0,3.0,119.8,132.10000000000002,0.0,119.80000000000001,1.0,3.0,119.8,132.10000000000002,0.0,0.0
