season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,1,1,126.02,0.8,100.86,88.15,105.04,W,8,10.0,11,0.909,1,"['11576', '11631', '1348', '2133', '421', '8132', '8225']","[np.float64(29.2), np.float64(30.2), np.float64(2.0), np.float64(9.4), np.float64(20.32), np.float64(19.9), np.float64(15.0)]",1,1,DanCoulton,120.28,107.62,1.0,9.0,129.58,111.11999999999999,1.0,120.28,1.0,9.0,129.58,111.11999999999999,1.0,0.0
1,1,1,144.3,0.752,108.55,68.13,81.58,W,6,11.0,11,1.0,2,"['11533', '11643', '2309', '4892', '5001', '8138', '8144']","[np.float64(6.0), np.float64(27.8), np.float64(21.0), np.float64(32.5), np.float64(16.0), np.float64(19.1), np.float64(21.9)]",1,5,TenAndJerry,119.16,105.41999999999999,1.0,8.0,173.95999999999998,121.33999999999997,1.0,119.16,1.0,8.0,173.95999999999998,121.33999999999997,1.0,0.0
1,1,1,112.04,0.736,82.51,87.05,114.75999999999999,L,12,4.0,11,0.364,3,"['4035', '4082', '4381', '4881', '5119', '7496', '8408']","[np.float64(23.5), np.float64(7.7), np.float64(3.9), np.float64(41.74), np.float64(4.0), np.float64(16.3), np.float64(14.9)]",1,2,benturvill61,97.12,96.46,1.0,2.0,133.32,117.84,1.0,97.12,1.0,2.0,133.32,117.84,1.0,0.0
1,1,1,104.78,0.669,70.09,84.59,108.82000000000002,L,7,1.0,11,0.091,4,"['11564', '11610', '4066', '4981', '7021', '9509']","[np.float64(19.88), np.float64(19.9), np.float64(6.6), np.float64(21.8), np.float64(17.1), np.float64(19.5)]",1,4,calumedwards,69.6,119.02,0.0,0.0,86.19999999999999,124.41999999999999,0.0,69.6,0.0,0.0,86.19999999999999,124.41999999999999,0.0,0.0
1,1,1,108.0,0.705,76.09,86.02,108.44,L,10,2.0,11,0.182,5,"['1433', '4217', '4984', '6845', '7611', '8148', '8676']","[np.float64(10.0), np.float64(7.3), np.float64(19.5), np.float64(15.1), np.float64(19.5), np.float64(18.3), np.float64(18.3)]",1,6,0llie,121.58,111.06,1.0,10.0,196.38,139.46,1.0,121.58,1.0,10.0,196.38,139.46,1.0,0.0
1,1,1,81.58,0.835,68.13,108.55,144.3,L,2,0.0,11,0.0,6,"['10871', '11560', '2449', '4195', '5967', '6786', '7567']","[np.float64(6.6), np.float64(30.68), np.float64(16.6), np.float64(6.0), np.float64(6.7), np.float64(9.4), np.float64(5.6)]",1,5,jhh82,105.41999999999999,119.16,0.0,3.0,121.33999999999997,173.95999999999998,0.0,105.41999999999999,0.0,3.0,121.33999999999997,173.95999999999998,0.0,0.0
1,1,1,108.82,0.777,84.59,70.09,104.78,W,4,5.0,11,0.455,7,"['11584', '6149', '6650', '6813', '6904', '7553', '8146']","[np.float64(8.0), np.float64(13.1), np.float64(7.0), np.float64(24.8), np.float64(24.12), np.float64(13.7), np.float64(18.1)]",1,4,JoeWright,119.02,69.6,1.0,7.0,124.41999999999999,86.19999999999999,1.0,119.02,1.0,7.0,124.41999999999999,86.19999999999999,1.0,0.0
1,1,1,105.04,0.839,88.15,100.86,126.02000000000001,L,1,9.0,11,0.818,8,"['11539', '11583', '1479', '3163', '4137', '4993', '9502']","[np.float64(10.0), np.float64(12.9), np.float64(12.1), np.float64(24.34), np.float64(19.4), np.float64(14.8), np.float64(11.5)]",1,1,Pindeco,107.62,120.28,0.0,4.0,111.11999999999999,129.58,0.0,107.62,0.0,4.0,111.11999999999999,129.58,0.0,0.0
1,1,1,120.42,0.663,79.83,84.98,111.32000000000001,L,11,3.0,11,0.273,9,"['1945', '3321', '4046', '5012', '5892', '9224', '9500']","[np.float64(12.0), np.float64(17.1), np.float64(39.22), np.float64(4.8), np.float64(17.6), np.float64(16.8), np.float64(12.9)]",1,3,mikepearson,128.04,108.28,1.0,11.0,146.06,152.58,0.0,128.04,1.0,11.0,146.06,152.58,0.0,0.0
1,1,1,108.44,0.793,86.02,76.09,108.0,W,5,7.0,11,0.636,10,"['11566', '11623', '4227', '4988', '7670', '8151', '9484']","[np.float64(21.24), np.float64(9.1), np.float64(5.0), np.float64(8.8), np.float64(23.9), np.float64(25.5), np.float64(14.9)]",1,6,msouthwell,111.06,121.58,0.0,6.0,139.46,196.38,0.0,111.06,0.0,6.0,139.46,196.38,0.0,0.0
