season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,1,1,124.7,0.764,95.3,97.26,132.72000000000003,L,12,9.0,11,0.818,1,"['1689', '1945', '3198', '4217', '8167', '9224', '96']","[np.float64(20.9), np.float64(4.0), np.float64(19.0), np.float64(14.6), np.float64(14.5), np.float64(24.1), np.float64(27.6)]",1,3,benturvill61,106.64,106.38,1.0,4.0,109.44,112.08,0.0,106.64,1.0,4.0,109.44,112.08,0.0,0.0
1,1,1,90.48,0.741,67.07,60.03,78.82000000000001,W,11,2.0,11,0.182,2,"['3163', '4035', '4195', '5859', '7600', '8205', '9488']","[np.float64(26.68), np.float64(10.2), np.float64(4.0), np.float64(18.9), np.float64(2.7), np.float64(15.8), np.float64(12.2)]",1,2,mikepearson,143.82,134.28,1.0,10.0,166.22,143.88000000000002,1.0,143.82,1.0,10.0,166.22,143.88000000000002,1.0,0.0
1,1,2,115.48,0.755,87.2,92.83,105.32000000000001,L,9,7.0,11,0.636,3,"['10236', '4881', '7042', '8121', '8146', '8150', '8151']","[np.float64(8.9), np.float64(33.28), np.float64(3.0), np.float64(13.9), np.float64(12.4), np.float64(13.7), np.float64(30.3)]",1,6,splangtree,115.36,147.96,0.0,5.0,163.24000000000004,161.76000000000002,1.0,115.36,0.0,5.0,163.24000000000004,161.76000000000002,1.0,0.0
1,1,2,103.12,0.746,76.91,65.25,82.2,W,6,5.0,11,0.455,4,"['11539', '11579', '3321', '6904', '7528', '7553', '8112']","[np.float64(7.0), np.float64(5.4), np.float64(27.0), np.float64(18.42), np.float64(15.1), np.float64(8.7), np.float64(21.5)]",1,5,DanCoulton,119.7,133.07999999999998,0.0,6.0,133.06,170.88,0.0,119.7,0.0,6.0,133.06,170.88,0.0,0.0
1,1,2,112.22,0.752,84.42,95.56,105.97999999999999,L,8,6.0,11,0.545,5,"['11566', '11618', '3451', '5844', '7526', '7594', '9221']","[np.float64(25.82), np.float64(12.1), np.float64(16.0), np.float64(10.7), np.float64(11.6), np.float64(16.7), np.float64(19.3)]",1,4,Tomcoulton10,137.42000000000002,87.6,1.0,9.0,154.98,117.16,1.0,137.42000000000002,1.0,9.0,154.98,117.16,1.0,0.0
1,1,2,82.2,0.794,65.25,76.91,103.12,L,4,1.0,11,0.091,6,"['11604', '19', '4034', '6801', '8134', '9226']","[np.float64(17.7), np.float64(14.1), np.float64(9.8), np.float64(13.2), np.float64(17.5), np.float64(9.9)]",1,5,0llie,133.07999999999998,119.7,1.0,7.0,170.88,133.06,1.0,133.07999999999998,1.0,7.0,170.88,133.06,1.0,0.0
1,1,1,81.08,0.837,67.83,71.91,91.3,L,10,3.0,11,0.273,7,"['11058', '11584', '11628', '1234', '5012', '5892', '8144']","[np.float64(4.0), np.float64(16.0), np.float64(11.4), np.float64(11.48), np.float64(11.6), np.float64(8.5), np.float64(18.1)]",1,1,Pindeco,97.66,71.47999999999999,1.0,2.0,115.16,91.1,1.0,97.66,1.0,2.0,115.16,91.1,1.0,0.0
1,1,2,105.98,0.902,95.56,84.42,112.22,W,5,10.0,11,0.909,8,"['1466', '2306', '6650', '7525', '7564', '7588', '8155']","[np.float64(7.6), np.float64(42.28), np.float64(11.0), np.float64(9.4), np.float64(11.6), np.float64(17.5), np.float64(6.6)]",1,4,JoeWright,87.6,137.42000000000002,0.0,1.0,117.16,154.98,0.0,87.6,0.0,1.0,117.16,154.98,0.0,0.0
1,1,2,105.32,0.881,92.83,87.2,115.48,W,3,8.0,11,0.727,9,"['11632', '1264', '1339', '2449', '5849', '8154', '9753']","[np.float64(8.6), np.float64(6.0), np.float64(19.4), np.float64(10.5), np.float64(25.12), np.float64(20.2), np.float64(15.5)]",1,6,hyperpringle,147.96,115.36,1.0,11.0,161.76000000000002,163.24000000000004,0.0,147.96,1.0,11.0,161.76000000000002,163.24000000000004,0.0,0.0
1,1,1,91.3,0.788,71.91,67.83,81.08,W,7,4.0,11,0.364,10,"['5010', '5045', '6770', '6790', '6819', '8228', '8259']","[np.float64(2.3), np.float64(6.7), np.float64(22.9), np.float64(18.5), np.float64(11.5), np.float64(19.4), np.float64(10.0)]",1,1,msouthwell,71.47999999999999,97.66,0.0,0.0,91.1,115.16,0.0,71.47999999999999,0.0,0.0,91.1,115.16,0.0,0.0
1,1,1,78.82,0.762,60.03,67.07,90.48,L,2,0.0,11,0.0,11,"['11620', '2216', '6768', '7611', '8110', '9225']","[np.float64(12.8), np.float64(6.1), np.float64(20.02), np.float64(12.7), np.float64(21.2), np.float64(6.0)]",1,2,LannySenior,134.28,143.82,0.0,8.0,143.88000000000002,166.22,0.0,134.28,0.0,8.0,143.88000000000002,166.22,0.0,0.0
1,1,1,132.72,0.733,97.26,95.3,124.69999999999999,W,1,11.0,11,1.0,12,"['4981', '4983', '5850', '6826', '7523', '7839', '9509']","[np.float64(22.3), np.float64(26.3), np.float64(14.1), np.float64(26.1), np.float64(11.62), np.float64(13.0), np.float64(19.3)]",1,3,jhh82,106.38,106.64,0.0,3.0,112.08,109.44,1.0,106.38,0.0,3.0,112.08,109.44,1.0,0.0
1,2,1,126.1,0.811,102.27,63.07,78.76,W,7,11.0,11,1.0,1,"['10229', '11655', '1945', '3198', '4144', '6786', '6797']","[np.float64(17.1), np.float64(17.5), np.float64(12.0), np.float64(16.7), np.float64(21.9), np.float64(18.3), np.float64(22.6)]",2,3,benturvill61,139.74,137.7,1.0,9.0,140.94,140.9,1.0,139.74,1.0,9.0,140.94,140.9,1.0,0.0
1,2,1,103.02,0.883,90.93,83.24,107.44,W,12,9.0,11,0.818,2,"['2133', '2359', '4046', '4195', '5859', '7600', '8408']","[np.float64(17.1), np.float64(21.5), np.float64(22.42), np.float64(9.0), np.float64(14.4), np.float64(7.6), np.float64(11.0)]",2,1,mikepearson,160.32,137.82,1.0,11.0,172.32,149.12,1.0,160.32,1.0,11.0,172.32,149.12,1.0,0.0
1,2,2,108.52,0.755,81.99,88.07,111.24,L,4,5.0,11,0.455,3,"['10236', '4943', '7042', '8146', '8148', '8150', '8151']","[np.float64(3.5), np.float64(26.72), np.float64(5.0), np.float64(22.8), np.float64(7.2), np.float64(24.4), np.float64(18.9)]",2,4,splangtree,124.86,101.66,1.0,5.0,133.4,120.80000000000001,1.0,124.86,1.0,5.0,133.4,120.80000000000001,1.0,0.0
1,2,2,111.24,0.792,88.07,81.99,108.52000000000001,W,3,8.0,11,0.727,4,"['11539', '11579', '1373', '4199', '7049', '8112', '9484']","[np.float64(2.0), np.float64(26.5), np.float64(25.14), np.float64(15.7), np.float64(18.8), np.float64(18.9), np.float64(4.2)]",2,4,DanCoulton,101.66,124.86,0.0,2.0,120.80000000000001,133.4,0.0,101.66,0.0,2.0,120.80000000000001,133.4,0.0,0.0
