season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,1,1,130.36,0.811,105.76,89.5,124.5,W,2,8.0,11,0.727,1,"['4217', '6786', '7526', '7547', '8138', '8151', '8183']","[np.float64(29.9), np.float64(15.0), np.float64(15.2), np.float64(17.2), np.float64(11.4), np.float64(10.4), np.float64(31.26)]",1,5,MajorNC,110.88,111.24,0.0,5.0,136.49999999999997,141.24,0.0,110.88,0.0,5.0,136.49999999999997,141.24,0.0,0.0
1,1,1,124.5,0.719,89.5,105.76,130.36,L,1,1.0,11,0.091,2,"['10236', '11632', '3198', '9221', '9488', '9493', '9758']","[np.float64(16.6), np.float64(13.7), np.float64(16.5), np.float64(27.0), np.float64(13.7), np.float64(12.4), np.float64(24.6)]",1,5,Tomcoulton10,111.24,110.88,1.0,6.0,141.24,136.49999999999997,1.0,111.24,1.0,6.0,141.24,136.49999999999997,1.0,0.0
1,1,1,122.4,0.756,92.57,103.63,134.7,L,8,4.0,11,0.364,3,"['10222', '10226', '4984', '5022', '5086', '7588', '8228']","[np.float64(8.9), np.float64(19.0), np.float64(36.5), np.float64(16.1), np.float64(7.0), np.float64(21.5), np.float64(13.4)]",1,2,splangtree,145.58,113.2,1.0,10.0,155.78,148.6,1.0,145.58,1.0,10.0,155.78,148.6,1.0,0.0
1,1,1,134.68,0.765,103.03,107.99,123.97999999999999,L,11,6.0,11,0.545,4,"['11579', '1373', '1426', '5001', '5045', '5846', '6790']","[np.float64(31.7), np.float64(16.68), np.float64(8.2), np.float64(6.2), np.float64(23.3), np.float64(13.6), np.float64(35.0)]",1,1,benturvill61,120.32000000000001,58.1,1.0,8.0,143.92000000000002,80.89999999999999,1.0,120.32000000000001,1.0,8.0,143.92000000000002,80.89999999999999,1.0,0.0
1,1,1,109.32,0.825,90.15,115.18,140.0,L,9,2.0,11,0.182,5,"['11565', '11604', '1689', '5967', '6039', '6149', '9501']","[np.float64(29.62), np.float64(25.7), np.float64(9.0), np.float64(18.0), np.float64(13.7), np.float64(7.8), np.float64(5.5)]",1,4,mikepearson,110.4,124.42,0.0,4.0,115.4,138.48000000000002,0.0,110.4,0.0,4.0,115.4,138.48000000000002,0.0,0.0
1,1,1,87.54,0.826,72.31,107.36,130.16,L,7,0.0,11,0.0,6,"['11560', '11581', '11637', '7049', '7528', '8117', '9482']","[np.float64(24.34), np.float64(26.2), np.float64(5.7), np.float64(6.7), np.float64(7.4), np.float64(11.2), np.float64(6.0)]",1,6,wuds100,47.02,174.48000000000002,0.0,0.0,76.99999999999999,174.48,0.0,47.02,0.0,0.0,76.99999999999999,174.48,0.0,0.0
1,1,1,130.16,0.825,107.36,72.31,87.54,W,6,9.0,11,0.818,7,"['11563', '2197', '2216', '4137', '4866', '7564', '8225']","[np.float64(25.16), np.float64(26.9), np.float64(16.4), np.float64(22.6), np.float64(15.8), np.float64(14.8), np.float64(8.5)]",1,6,Pindeco,174.48000000000002,47.02,1.0,11.0,174.48,76.99999999999999,1.0,174.48000000000002,1.0,11.0,174.48,76.99999999999999,1.0,0.0
1,1,1,134.7,0.769,103.63,92.57,122.4,W,3,7.0,11,0.636,8,"['11635', '2449', '4034', '4037', '6904', '8111', '9224']","[np.float64(32.0), np.float64(19.0), np.float64(19.9), np.float64(18.1), np.float64(18.8), np.float64(8.6), np.float64(18.3)]",1,2,0llie,113.2,145.58,0.0,7.0,148.6,155.78,0.0,113.2,0.0,7.0,148.6,155.78,0.0,0.0
1,1,1,140.0,0.823,115.18,90.15,109.32,W,5,11.0,11,1.0,9,"['10444', '19', '3321', '4033', '5927', '8150', '9226']","[np.float64(22.5), np.float64(27.8), np.float64(32.0), np.float64(11.4), np.float64(17.4), np.float64(15.2), np.float64(13.7)]",1,4,DanCoulton,124.42,110.4,1.0,9.0,138.48000000000002,115.4,1.0,124.42,1.0,9.0,138.48000000000002,115.4,1.0,0.0
1,1,1,129.78,0.768,99.7,90.2,120.10000000000001,W,12,5.0,11,0.455,10,"['11624', '1466', '4663', '4892', '5995', '6783', '7090']","[np.float64(17.9), np.float64(19.8), np.float64(17.3), np.float64(17.18), np.float64(35.7), np.float64(10.8), np.float64(11.1)]",1,3,Dominichudson1986,92.64,100.28,0.0,2.0,132.24,161.48000000000002,0.0,92.64,0.0,2.0,132.24,161.48000000000002,0.0,0.0
